,eng,deu,nld,fin,fra,ita,spa,por,rus,heb,arb,cmn
eng,0.0,0.4364,0.4861,0.4694,0.4753,0.5064,0.5481,0.4235,0.5594,0.5549,0.5983,0.5926
deu,0.4364,0.0,0.3086,0.4201,0.3886,0.4819,0.6393,0.4343,0.5184,0.4672,0.6153,0.5902
nld,0.4861,0.3086,0.0,0.4561,0.3411,0.4305,0.557,0.3863,0.5297,0.5448,0.6068,0.5837
fin,0.4694,0.4201,0.4561,0.0,0.3996,0.4906,0.5617,0.454,0.5099,0.552,0.6506,0.5823
fra,0.4753,0.3886,0.3411,0.3996,0.0,0.4379,0.5804,0.3947,0.5152,0.6082,0.6025,0.5726
ita,0.5064,0.4819,0.4305,0.4906,0.4379,0.0,0.5037,0.351,0.4693,0.6332,0.6737,0.6245
spa,0.5481,0.6393,0.557,0.5617,0.5804,0.5037,0.0,0.4797,0.5273,0.6441,0.6832,0.5941
por,0.4235,0.4343,0.3863,0.454,0.3947,0.351,0.4797,0.0,0.47,0.5958,0.6328,0.5869
rus,0.5594,0.5184,0.5297,0.5099,0.5152,0.4693,0.5273,0.47,0.0,0.6156,0.688,0.6065
heb,0.5549,0.4672,0.5448,0.552,0.6082,0.6332,0.6441,0.5958,0.6156,0.0,0.7028,0.565
arb,0.5983,0.6153,0.6068,0.6506,0.6025,0.6737,0.6832,0.6328,0.688,0.7028,0.0,0.624
cmn,0.5926,0.5902,0.5837,0.5823,0.5726,0.6245,0.5941,0.5869,0.6065,0.565,0.624,0.0
