,eng,deu,nld,fin,fra,ita,spa,rus,heb,arb,cmn
eng,0.0,0.42,0.49,0.53,0.46,0.51,0.4,0.49,0.52,0.67,0.55
deu,0.42,0.0,0.35,0.54,0.46,0.52,0.5,0.42,0.5,0.74,0.6
nld,0.49,0.35,0.0,0.61,0.51,0.43,0.58,0.57,0.59,0.75,0.61
fin,0.53,0.54,0.61,0.0,0.54,0.57,0.47,0.38,0.49,0.62,0.52
fra,0.46,0.46,0.51,0.54,0.0,0.55,0.41,0.51,0.47,0.67,0.65
ita,0.51,0.52,0.43,0.57,0.55,0.0,0.47,0.56,0.49,0.64,0.6
spa,0.4,0.5,0.58,0.47,0.41,0.47,0.0,0.45,0.44,0.68,0.6
rus,0.49,0.42,0.57,0.38,0.51,0.56,0.45,0.0,0.43,0.67,0.51
heb,0.52,0.5,0.59,0.49,0.47,0.49,0.44,0.43,0.0,0.6,0.6
arb,0.67,0.74,0.75,0.62,0.67,0.64,0.68,0.67,0.6,0.0,0.72
cmn,0.55,0.6,0.61,0.52,0.65,0.6,0.6,0.51,0.6,0.72,0.0
