,eng,deu,nld,fin,fra,ita,spa,por,rus,heb,arb,cmn
eng,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.4
deu,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.2,0.1,0.2,0.4
nld,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.4
fin,0.1,0.1,0.1,0.0,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.3
fra,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4
ita,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.2,0.1,0.2,0.4
spa,0.1,0.1,0.1,0.2,0.0,0.1,0.0,0.0,0.3,0.2,0.2,0.5
por,0.1,0.1,0.1,0.2,0.0,0.1,0.0,0.0,0.3,0.2,0.2,0.5
rus,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.3,0.0,0.2,0.2,0.2
heb,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.0,0.0,0.4
arb,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.3
cmn,0.4,0.4,0.4,0.3,0.4,0.4,0.5,0.5,0.2,0.4,0.3,0.0
