,ar,ca,cs,cy,de,en,eo,es,eu,fa,fry,Fy-NL,it,kab,nl,pl,pt,ru,rw,Sv-SE,ta,tr,tt,uk,zh
ar,0,0.6461,0.6784,0,0.6153,0.5983,0,0.6832,0.669,0,0.6025,0,0.6737,0.688,0.6068,0.6597,0.6328,0.688,0.6552,0.6153,0.6196,0.6196,0,0.6737,0
ca,0.6461,0,0.4663,0.6461,0.4707,0.4581,0.6461,0.4565,0.5063,0.6461,0.4096,0.6461,0.3459,0.6405,0.4234,0.4568,0.2848,0.4706,0.4429,0.5094,0.5032,0.443,0.6461,0.4021,0.6461
cs,0.6784,0.4663,0,0.6784,0.4728,0.5368,0.6784,0.5431,0.4967,0.6784,0.4713,0.6784,0.4371,0.6033,0.4427,0.4653,0.4431,0.4034,0.4494,0.573,0.568,0.4197,0.6784,0.3804,0.6784
cy,0,0.6461,0.6784,0,0.6153,0.5983,0,0.6832,0.669,0,0.6025,0,0.6737,0.688,0.6068,0.6597,0.6328,0.688,0.6552,0.6153,0.6196,0.6196,0,0.6737,0
de,0.6153,0.4707,0.4728,0.6153,0,0.4364,0.6153,0.6393,0.6038,0.6153,0.3886,0.6153,0.4819,0.6513,0.3086,0.5805,0.4343,0.5184,0.4747,0.426,0.595,0.418,0.6153,0.4605,0.6153
en,0.5983,0.4581,0.5368,0.5983,0.4364,0,0.5983,0.5481,0.6205,0.5983,0.4753,0.5983,0.5064,0.6656,0.4861,0.5472,0.4235,0.5594,0.5182,0.5242,0.5014,0.5183,0.5983,0.4661,0.5983
eo,0,0.6461,0.6784,0,0.6153,0.5983,0,0.6832,0.669,0,0.6025,0,0.6737,0.688,0.6068,0.6597,0.6328,0.688,0.6552,0.6153,0.6196,0.6196,0,0.6737,0
es,0.6832,0.4565,0.5431,0.6832,0.6393,0.5481,0.6832,0,0.5118,0.6832,0.5804,0.6832,0.5037,0.6614,0.557,0.4801,0.4797,0.5273,0.5337,0.6215,0.5,0.5608,0.6832,0.5275,0.6832
eu,0.669,0.5063,0.4967,0.669,0.6038,0.6205,0.669,0.5118,0,0.669,0.5822,0.669,0.55,0.5268,0.5776,0.5494,0.5462,0.5499,0.5559,0.6212,0.5439,0.5245,0.669,0.5715,0.669
fa,0,0.6461,0.6784,0,0.6153,0.5983,0,0.6832,0.669,0,0.6025,0,0.6737,0.688,0.6068,0.6597,0.6328,0.688,0.6552,0.6153,0.6196,0.6196,0,0.6737,0
fr,0.6025,0.4096,0.4713,0.6025,0.3886,0.4753,0.6025,0.5804,0.5822,0.6025,0,0.6025,0.4379,0.6622,0.3411,0.5239,0.3947,0.5152,0.4336,0.4845,0.5776,0.4955,0.6025,0.4596,0.6025
Fy-NL,0,0.6461,0.6784,0,0.6153,0.5983,0,0.6832,0.669,0,0.6025,0,0.6737,0.688,0.6068,0.6597,0.6328,0.688,0.6552,0.6153,0.6196,0.6196,0,0.6737,0
it,0.6737,0.3459,0.4371,0.6737,0.4819,0.5064,0.6737,0.5037,0.55,0.6737,0.4379,0.6737,0,0.6511,0.4305,0.498,0.351,0.4693,0.4592,0.5422,0.5747,0.5168,0.6737,0.3926,0.6737
kab,0.688,0.6405,0.6033,0.688,0.6513,0.6656,0.688,0.6614,0.5268,0.688,0.6622,0.688,0.6511,0,0.6414,0.6259,0.6717,0.6561,0.6109,0.6335,0.6827,0.573,0.688,0.6094,0.688
nl,0.6068,0.4234,0.4427,0.6068,0.3086,0.4861,0.6068,0.557,0.5776,0.6068,0.3411,0.6068,0.4305,0.6414,0,0.5368,0.3863,0.5297,0.4474,0.46,0.5729,0.4527,0.6068,0.4527,0.6068
pl,0.6597,0.4568,0.4653,0.6597,0.5805,0.5472,0.6597,0.4801,0.5494,0.6597,0.5239,0.6597,0.498,0.6259,0.5368,0,0.4584,0.4949,0.4856,0.5444,0.5003,0.5389,0.6597,0.4504,0.6597
pt,0.6328,0.2848,0.4431,0.6328,0.4343,0.4235,0.6328,0.4797,0.5462,0.6328,0.3947,0.6328,0.351,0.6717,0.3863,0.4584,0,0.47,0.4452,0.493,0.4865,0.4672,0.6328,0.4048,0.6328
ru,0.688,0.4706,0.4034,0.688,0.5184,0.5594,0.688,0.5273,0.5499,0.688,0.5152,0.688,0.4693,0.6561,0.5297,0.4949,0.47,0,0.5256,0.578,0.611,0.5124,0.688,0.385,0.688
rw,0.6552,0.4429,0.4494,0.6552,0.4747,0.5182,0.6552,0.5337,0.5559,0.6552,0.4336,0.6552,0.4592,0.6109,0.4474,0.4856,0.4452,0.5256,0,0.5689,0.5079,0.527,0.6552,0.4592,0.6552
Sv-SE,0.6153,0.5094,0.573,0.6153,0.426,0.5242,0.6153,0.6215,0.6212,0.6153,0.4845,0.6153,0.5422,0.6335,0.46,0.5444,0.493,0.578,0.5689,0,0.5792,0.4765,0.6153,0.5227,0.6153
ta,0.6196,0.5032,0.568,0.6196,0.595,0.5014,0.6196,0.5,0.5439,0.6196,0.5776,0.6196,0.5747,0.6827,0.5729,0.5003,0.4865,0.611,0.5079,0.5792,0,0.5903,0.6196,0.5559,0.6196
tr,0.6196,0.443,0.4197,0.6196,0.418,0.5183,0.6196,0.5608,0.5245,0.6196,0.4955,0.6196,0.5168,0.573,0.4527,0.5389,0.4672,0.5124,0.527,0.4765,0.5903,0,0.6196,0.4752,0.6196
tt,0,0.6461,0.6784,0,0.6153,0.5983,0,0.6832,0.669,0,0.6025,0,0.6737,0.688,0.6068,0.6597,0.6328,0.688,0.6552,0.6153,0.6196,0.6196,0,0.6737,0
uk,0.6737,0.4021,0.3804,0.6737,0.4605,0.4661,0.6737,0.5275,0.5715,0.6737,0.4596,0.6737,0.3926,0.6094,0.4527,0.4504,0.4048,0.385,0.4592,0.5227,0.5559,0.4752,0.6737,0,0.6737
zh,0,0.6461,0.6784,0,0.6153,0.5983,0,0.6832,0.669,0,0.6025,0,0.6737,0.688,0.6068,0.6597,0.6328,0.688,0.6552,0.6153,0.6196,0.6196,0,0.6737,0
