,ar,ca,cs,cy,de,en,eo,es,eu,fa,fry,Fy-NL,it,kab,nl,pl,pt,ru,rw,Sv-SE,ta,tr,tt,uk,zh
ar,0,0.6162,0.0002,0.0002,0.5456,0.5687,0.0002,0.5922,0.641,0.0002,0.5456,0.0002,0.0002,0.0002,0.0002,0.6162,0.0002,0.6162,0.0002,0.0002,0.0002,0.5922,0.879,0.0002,0.0002
ca,0.6162,0,0.6162,0.6162,0.3333,0.2804,0.6162,0.3613,0.2163,0.6162,0.3333,0.6162,0.6162,0.6162,0.6162,0,0.6162,0,0.6162,0.6162,0.6162,0.2048,1,0.6162,0.6162
cs,0.0002,0.6162,0,0.0002,0.5456,0.5687,0.0002,0.5922,0.641,0.0002,0.5456,0.0002,0.0002,0.0002,0.0002,0.6162,0.0002,0.6162,0.0002,0.0002,0.0002,0.5922,0.879,0.0002,0.0002
cy,0.0002,0.6162,0.0002,0,0.5456,0.5687,0.0002,0.5922,0.641,0.0002,0.5456,0.0002,0.0002,0.0002,0.0002,0.6162,0.0002,0.6162,0.0002,0.0002,0.0002,0.5922,0.879,0.0002,0.0002
de,0.5456,0.3333,0.5456,0.5456,0,0.3277,0.5456,0.4788,0.3918,0.5456,0.2617,0.5456,0.5456,0.5456,0.5456,0.3333,0.5456,0.3333,0.5456,0.5456,0.5456,0.2677,0.8136,0.5456,0.5456
en,0.5687,0.2804,0.5687,0.5687,0.3277,0,0.5687,0.3433,0.3498,0.5687,0.427,0.5687,0.5687,0.5687,0.5687,0.2804,0.5687,0.2804,0.5687,0.5687,0.5687,0.3433,0.805,0.5687,0.5687
eo,0.0002,0.6162,0.0002,0.0002,0.5456,0.5687,0,0.5922,0.641,0.0002,0.5456,0.0002,0.0002,0.0002,0.0002,0.6162,0.0002,0.6162,0.0002,0.0002,0.0002,0.5922,0.879,0.0002,0.0002
es,0.5922,0.3613,0.5922,0.5922,0.4788,0.3433,0.5922,0,0.4278,0.5922,0.4788,0.5922,0.5922,0.5922,0.5922,0.3613,0.5922,0.3613,0.5922,0.5922,0.5922,0.4097,1,0.5922,0.5922
eu,0.641,0.2163,0.641,0.641,0.3918,0.3498,0.641,0.4278,0,0.641,0.3918,0.641,0.641,0.641,0.641,0.2163,0.641,0.2163,0.641,0.641,0.641,0.2952,1,0.641,0.641
fa,0.0002,0.6162,0.0002,0.0002,0.5456,0.5687,0.0002,0.5922,0.641,0,0.5456,0.0002,0.0002,0.0002,0.0002,0.6162,0.0002,0.6162,0.0002,0.0002,0.0002,0.5922,0.879,0.0002,0.0002
