,ara,cat,ces,cym,deu,eng,epo,spa,eus,fas,fra,fry,ita,kab,nld,pol,por,rus,kin,swe,tam,tur,tat,ukr,zho
ara,0.0,0.66,0.66,0.63,0.58,0.57,0.74,0.56,0.53,0.0,0.57,0.71,0.61,0.77,0.63,0.6,0.61,0.57,0.74,0.64,0.66,0.55,0.69,0.61,0.0
cat,0.66,0.0,0.54,0.59,0.54,0.53,0.65,0.54,0.63,0.66,0.58,0.48,0.41,0.65,0.47,0.55,0.43,0.58,0.77,0.45,0.82,0.73,0.75,0.54,0.66
ces,0.66,0.54,0.0,0.69,0.55,0.66,0.58,0.62,0.69,0.66,0.64,0.53,0.55,0.78,0.51,0.5,0.57,0.54,0.71,0.57,0.64,0.6,0.57,0.46,0.66
cym,0.63,0.59,0.69,0.0,0.65,0.57,0.78,0.55,0.68,0.63,0.56,0.72,0.5,0.6,0.6,0.48,0.46,0.62,0.79,0.56,0.84,0.81,0.79,0.55,0.63
deu,0.58,0.54,0.55,0.65,0.0,0.42,0.69,0.5,0.59,0.58,0.46,0.52,0.52,0.78,0.35,0.55,0.53,0.42,0.81,0.43,0.63,0.64,0.65,0.47,0.58
eng,0.57,0.53,0.66,0.57,0.42,0.0,0.73,0.4,0.61,0.57,0.46,0.63,0.51,0.69,0.49,0.59,0.47,0.49,0.77,0.42,0.71,0.7,0.75,0.51,0.57
epo,0.74,0.65,0.58,0.78,0.69,0.73,0.0,0.67,0.8,0.74,0.75,0.69,0.67,0.7,0.68,0.64,0.7,0.67,0.79,0.71,0.84,0.74,0.82,0.67,0.74
spa,0.56,0.54,0.62,0.55,0.5,0.4,0.67,0.0,0.55,0.56,0.41,0.69,0.47,0.7,0.58,0.55,0.4,0.45,0.77,0.52,0.74,0.65,0.73,0.52,0.56
eus,0.53,0.63,0.69,0.68,0.59,0.61,0.8,0.55,0.0,0.53,0.6,0.68,0.61,0.83,0.64,0.61,0.58,0.57,0.8,0.68,0.64,0.62,0.63,0.65,0.53
fas,0.0,0.66,0.66,0.63,0.58,0.57,0.74,0.56,0.53,0.0,0.57,0.71,0.61,0.77,0.63,0.6,0.61,0.57,0.74,0.64,0.66,0.55,0.69,0.61,0.0
fra,0.57,0.58,0.64,0.56,0.46,0.46,0.75,0.41,0.6,0.57,0.0,0.65,0.55,0.69,0.51,0.56,0.46,0.51,0.71,0.44,0.71,0.68,0.7,0.5,0.57
fry,0.71,0.48,0.53,0.72,0.52,0.63,0.69,0.69,0.68,0.71,0.65,0.0,0.56,0.79,0.44,0.6,0.62,0.63,0.81,0.51,0.73,0.74,0.67,0.59,0.71
ita,0.61,0.41,0.55,0.5,0.52,0.51,0.67,0.47,0.61,0.61,0.55,0.56,0.0,0.74,0.43,0.4,0.3,0.56,0.8,0.51,0.75,0.67,0.68,0.45,0.61
kab,0.77,0.65,0.78,0.6,0.78,0.69,0.7,0.7,0.83,0.77,0.69,0.79,0.74,0.0,0.76,0.74,0.73,0.79,0.71,0.67,0.96,0.88,0.96,0.77,0.77
nld,0.63,0.47,0.51,0.6,0.35,0.49,0.68,0.58,0.64,0.63,0.51,0.44,0.43,0.76,0.0,0.53,0.49,0.57,0.79,0.36,0.71,0.71,0.66,0.47,0.63
pol,0.6,0.55,0.5,0.48,0.55,0.59,0.64,0.55,0.61,0.6,0.56,0.6,0.4,0.74,0.53,0.0,0.42,0.47,0.75,0.58,0.69,0.68,0.63,0.37,0.6
por,0.61,0.43,0.57,0.46,0.53,0.47,0.7,0.4,0.58,0.61,0.46,0.62,0.3,0.73,0.49,0.42,0.0,0.5,0.8,0.47,0.77,0.69,0.7,0.44,0.61
rus,0.57,0.58,0.54,0.62,0.42,0.49,0.67,0.45,0.57,0.57,0.51,0.63,0.56,0.79,0.57,0.47,0.5,0.0,0.79,0.56,0.66,0.63,0.66,0.37,0.57
kin,0.74,0.77,0.71,0.79,0.81,0.77,0.79,0.77,0.8,0.74,0.71,0.81,0.8,0.71,0.79,0.75,0.8,0.79,0.0,0.75,0.81,0.82,0.86,0.77,0.74
swe,0.64,0.45,0.57,0.56,0.43,0.42,0.71,0.52,0.68,0.64,0.44,0.51,0.51,0.67,0.36,0.58,0.47,0.56,0.75,0.0,0.73,0.73,0.71,0.51,0.64
tam,0.66,0.82,0.64,0.84,0.63,0.71,0.84,0.74,0.64,0.66,0.71,0.73,0.75,0.96,0.71,0.69,0.77,0.66,0.81,0.73,0.0,0.56,0.53,0.66,0.66
tur,0.55,0.73,0.6,0.81,0.64,0.7,0.74,0.65,0.62,0.55,0.68,0.74,0.67,0.88,0.71,0.68,0.69,0.63,0.82,0.73,0.56,0.0,0.51,0.69,0.55
tat,0.69,0.75,0.57,0.79,0.65,0.75,0.82,0.73,0.63,0.69,0.7,0.67,0.68,0.96,0.66,0.63,0.7,0.66,0.86,0.71,0.53,0.51,0.0,0.62,0.69
ukr,0.61,0.54,0.46,0.55,0.47,0.51,0.67,0.52,0.65,0.61,0.5,0.59,0.45,0.77,0.47,0.37,0.44,0.37,0.77,0.51,0.66,0.69,0.62,0.0,0.61
zho,0.0,0.66,0.66,0.63,0.58,0.57,0.74,0.56,0.53,0.0,0.57,0.71,0.61,0.77,0.63,0.6,0.61,0.57,0.74,0.64,0.66,0.55,0.69,0.61,0.0
