,eng,deu,nld,fin,fra,ita,spa,por,rus,heb,arb,cmn
eng,0.0,0.4286,0.6,1.0,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0
deu,0.4286,0.0,0.2857,1.0,0.8571,0.8571,0.8571,0.8571,0.8571,1.0,1.0,1.0
nld,0.6,0.2857,0.0,1.0,0.9375,0.9,0.9231,0.9333,0.8,1.0,1.0,1.0
fin,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fra,0.9,0.8571,0.9375,1.0,0.0,0.5625,0.4375,0.4375,0.9375,1.0,1.0,1.0
ita,0.9,0.8571,0.9,1.0,0.5625,0.0,0.4615,0.5333,0.8,1.0,1.0,1.0
spa,0.9,0.8571,0.9231,1.0,0.4375,0.4615,0.0,0.2667,0.8,1.0,1.0,1.0
por,0.9,0.8571,0.9333,1.0,0.4375,0.5333,0.2667,0.0,0.9333,1.0,1.0,1.0
rus,0.9,0.8571,0.8,1.0,0.9375,0.8,0.8,0.9333,0.0,1.0,1.0,1.0
heb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0
arb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0
cmn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
