langpair,train,test,subtrain,subtrain (diff),same,different,LFE
eng-fra,eng,fra,eng-1,fra-1,3.464,3.644,5.197
eng-fra,eng,fra,eng-1,fra-2,3.653,3.644,-0.250
eng-fra,eng,fra,eng-1,fra-3,4.185,3.644,-12.928
eng-fra,eng,fra,eng-1,fra-4,4.075,3.644,-10.571
eng-fra,eng,fra,eng-1,fra-5,3.526,3.644,3.351
eng-fra,eng,fra,eng-2,fra-1,3.464,3.487,0.645
eng-fra,eng,fra,eng-2,fra-2,3.653,3.487,-4.566
eng-fra,eng,fra,eng-2,fra-3,4.185,3.487,-16.696
eng-fra,eng,fra,eng-2,fra-4,4.075,3.487,-14.441
eng-fra,eng,fra,eng-2,fra-5,3.526,3.487,-1.121
eng-fra,eng,fra,eng-3,fra-1,3.464,3.455,-0.256
eng-fra,eng,fra,eng-3,fra-2,3.653,3.455,-5.420
eng-fra,eng,fra,eng-3,fra-3,4.185,3.455,-17.441
eng-fra,eng,fra,eng-3,fra-4,4.075,3.455,-15.206
eng-fra,eng,fra,eng-3,fra-5,3.526,3.455,-2.005
eng-fra,eng,fra,eng-4,fra-1,3.464,3.787,9.306
eng-fra,eng,fra,eng-4,fra-2,3.653,3.787,3.647
eng-fra,eng,fra,eng-4,fra-3,4.185,3.787,-9.526
eng-fra,eng,fra,eng-4,fra-4,4.075,3.787,-7.077
eng-fra,eng,fra,eng-4,fra-5,3.526,3.787,7.389
eng-fra,eng,fra,eng-5,fra-1,3.464,3.895,12.429
eng-fra,eng,fra,eng-5,fra-2,3.653,3.895,6.608
eng-fra,eng,fra,eng-5,fra-3,4.185,3.895,-6.942
eng-fra,eng,fra,eng-5,fra-4,4.075,3.895,-4.423
eng-fra,eng,fra,eng-5,fra-5,3.526,3.895,10.456
eng-fra,eng,fra,eng-6,fra-1,3.464,3.428,-1.048
eng-fra,eng,fra,eng-6,fra-2,3.653,3.428,-6.171
eng-fra,eng,fra,eng-6,fra-3,4.185,3.428,-18.097
eng-fra,eng,fra,eng-6,fra-4,4.075,3.428,-15.880
eng-fra,eng,fra,eng-6,fra-5,3.526,3.428,-2.784
eng-fra,fra,eng,fra-1,eng-1,2.525,3.531,39.850
eng-fra,fra,eng,fra-1,eng-2,2.313,3.531,52.668
eng-fra,fra,eng,fra-1,eng-3,2.650,3.531,33.248
eng-fra,fra,eng,fra-1,eng-4,2.655,3.531,32.994
eng-fra,fra,eng,fra-1,eng-5,2.816,3.531,25.409
eng-fra,fra,eng,fra-1,eng-6,2.654,3.531,33.029
eng-fra,fra,eng,fra-2,eng-1,2.525,3.305,30.909
eng-fra,fra,eng,fra-2,eng-2,2.313,3.305,42.907
eng-fra,fra,eng,fra-2,eng-3,2.650,3.305,24.729
eng-fra,fra,eng,fra-2,eng-4,2.655,3.305,24.491
eng-fra,fra,eng,fra-2,eng-5,2.816,3.305,17.391
eng-fra,fra,eng,fra-2,eng-6,2.654,3.305,24.523
eng-fra,fra,eng,fra-3,eng-1,2.525,3.449,36.617
eng-fra,fra,eng,fra-3,eng-2,2.313,3.449,49.138
eng-fra,fra,eng,fra-3,eng-3,2.650,3.449,30.167
eng-fra,fra,eng,fra-3,eng-4,2.655,3.449,29.919
eng-fra,fra,eng,fra-3,eng-5,2.816,3.449,22.509
eng-fra,fra,eng,fra-3,eng-6,2.654,3.449,29.953
eng-fra,fra,eng,fra-4,eng-1,2.525,3.507,38.897
eng-fra,fra,eng,fra-4,eng-2,2.313,3.507,51.627
eng-fra,fra,eng,fra-4,eng-3,2.650,3.507,32.339
eng-fra,fra,eng,fra-4,eng-4,2.655,3.507,32.087
eng-fra,fra,eng,fra-4,eng-5,2.816,3.507,24.554
eng-fra,fra,eng,fra-4,eng-6,2.654,3.507,32.121
eng-fra,fra,eng,fra-5,eng-1,2.525,3.856,52.709
eng-fra,fra,eng,fra-5,eng-2,2.313,3.856,66.706
eng-fra,fra,eng,fra-5,eng-3,2.650,3.856,45.500
eng-fra,fra,eng,fra-5,eng-4,2.655,3.856,45.222
eng-fra,fra,eng,fra-5,eng-5,2.816,3.856,36.940
eng-fra,fra,eng,fra-5,eng-6,2.654,3.856,45.260
