langpair,train,test,subtrain,subtrain (diff),same,different,LFE
eng-fra,eng,fra,eng-1,fra-1,2.356,2.445,3.767
eng-fra,eng,fra,eng-1,fra-2,2.635,2.445,-7.227
eng-fra,eng,fra,eng-1,fra-3,2.930,2.445,-16.561
eng-fra,eng,fra,eng-1,fra-4,2.777,2.445,-11.968
eng-fra,eng,fra,eng-1,fra-5,2.717,2.445,-10.016
eng-fra,eng,fra,eng-2,fra-1,2.356,2.610,10.785
eng-fra,eng,fra,eng-2,fra-2,2.635,2.610,-0.951
eng-fra,eng,fra,eng-2,fra-3,2.930,2.610,-10.918
eng-fra,eng,fra,eng-2,fra-4,2.777,2.610,-6.014
eng-fra,eng,fra,eng-2,fra-5,2.717,2.610,-3.930
eng-fra,eng,fra,eng-3,fra-1,2.356,2.780,17.989
eng-fra,eng,fra,eng-3,fra-2,2.635,2.780,5.489
eng-fra,eng,fra,eng-3,fra-3,2.930,2.780,-5.126
eng-fra,eng,fra,eng-3,fra-4,2.777,2.780,0.097
eng-fra,eng,fra,eng-3,fra-5,2.717,2.780,2.317
eng-fra,eng,fra,eng-4,fra-1,2.356,2.445,3.767
eng-fra,eng,fra,eng-4,fra-2,2.635,2.445,-7.227
eng-fra,eng,fra,eng-4,fra-3,2.930,2.445,-16.561
eng-fra,eng,fra,eng-4,fra-4,2.777,2.445,-11.968
eng-fra,eng,fra,eng-4,fra-5,2.717,2.445,-10.016
eng-fra,eng,fra,eng-5,fra-1,2.356,3.380,43.475
eng-fra,eng,fra,eng-5,fra-2,2.635,3.380,28.275
eng-fra,eng,fra,eng-5,fra-3,2.930,3.380,15.368
eng-fra,eng,fra,eng-5,fra-4,2.777,3.380,21.719
eng-fra,eng,fra,eng-5,fra-5,2.717,3.380,24.418
eng-fra,eng,fra,eng-6,fra-1,2.356,2.746,16.537
eng-fra,eng,fra,eng-6,fra-2,2.635,2.746,4.191
eng-fra,eng,fra,eng-6,fra-3,2.930,2.746,-6.293
eng-fra,eng,fra,eng-6,fra-4,2.777,2.746,-1.134
eng-fra,eng,fra,eng-6,fra-5,2.717,2.746,1.058
eng-fra,fra,eng,fra-1,eng-1,1.960,2.107,7.504
eng-fra,fra,eng,fra-1,eng-2,1.826,2.107,15.399
eng-fra,fra,eng,fra-1,eng-3,1.497,2.107,40.758
eng-fra,fra,eng,fra-1,eng-4,1.446,2.107,45.711
eng-fra,fra,eng,fra-1,eng-5,1.843,2.107,14.340
eng-fra,fra,eng,fra-1,eng-6,1.764,2.107,19.482
eng-fra,fra,eng,fra-2,eng-1,1.960,1.768,-9.805
eng-fra,fra,eng,fra-2,eng-2,1.826,1.768,-3.182
eng-fra,fra,eng,fra-2,eng-3,1.497,1.768,18.094
eng-fra,fra,eng,fra-2,eng-4,1.446,1.768,22.250
eng-fra,fra,eng,fra-2,eng-5,1.843,1.768,-4.070
eng-fra,fra,eng,fra-2,eng-6,1.764,1.768,0.244
eng-fra,fra,eng,fra-3,eng-1,1.960,2.475,26.234
eng-fra,fra,eng,fra-3,eng-2,1.826,2.475,35.504
eng-fra,fra,eng,fra-3,eng-3,1.497,2.475,65.281
eng-fra,fra,eng,fra-3,eng-4,1.446,2.475,71.098
eng-fra,fra,eng,fra-3,eng-5,1.843,2.475,34.261
eng-fra,fra,eng,fra-3,eng-6,1.764,2.475,40.298
eng-fra,fra,eng,fra-4,eng-1,1.960,1.985,1.264
eng-fra,fra,eng,fra-4,eng-2,1.826,1.985,8.700
eng-fra,fra,eng,fra-4,eng-3,1.497,1.985,32.587
eng-fra,fra,eng,fra-4,eng-4,1.446,1.985,37.253
eng-fra,fra,eng,fra-4,eng-5,1.843,1.985,7.703
eng-fra,fra,eng,fra-4,eng-6,1.764,1.985,12.546
eng-fra,fra,eng,fra-5,eng-1,1.960,2.695,37.496
eng-fra,fra,eng,fra-5,eng-2,1.826,2.695,47.593
eng-fra,fra,eng,fra-5,eng-3,1.497,2.695,80.027
eng-fra,fra,eng,fra-5,eng-4,1.446,2.695,86.362
eng-fra,fra,eng,fra-5,eng-5,1.843,2.695,46.239
eng-fra,fra,eng,fra-5,eng-6,1.764,2.695,52.815
