langpair,ld_cosine,hd_cosine,ld_euclidean,hd_euclidean,syntactic,phono,inventory,featural,ld_lfe,hd_lfe,genetic,geographic,hd_lda_euclidean,hd_lda_cosine,hd_lid,hd_lp-400_euclidean,hd_lda_lp-400_euclidean,jaccard_phoible,vec_phoible,hd_nd_euclidean,hd_lda_nd_euclidean,hd_lp-100_euclidean,hd_lda_lp-100_euclidean,ld_sig,hd_sig
ca-cy,-0.0869176164,-0.0989680961,2.3623776436,2.9303348064,0.5900000000,0.6162000000,0.6461000000,0.8000000000,-2.1459568502,8.3937039754,0.9091000000,0.1000000000,4.2576284409,-0.0668119490,0.5516719546,2.8160178661,3.9878857136,0.8783783784,0.0299985850,2.2769804001,3.1502211094,2.4681868553,3.2557475567,0.0000000000,0.0000000000
ca-de,-0.1728437543,-0.1431924552,2.4003458023,2.9272758961,0.5400000000,0.3333000000,0.4707000000,0.5000000000,11.7081276425,12.4885507908,0.8571000000,0.1000000000,4.2982211113,-0.1528317481,0.5405315000,2.9069659710,4.2576947212,0.8636363636,0.0304165552,2.3845932484,3.3676691055,2.6648249626,3.6565887928,1.0000000000,1.0000000000
ca-en,-0.2318832427,-0.1780023277,2.3102493286,2.8475325108,0.5300000000,0.2804000000,0.4581000000,0.5000000000,7.1876908166,5.7968035744,0.9000000000,0.1000000000,4.0789566040,-0.2205402553,0.5610907097,2.8080873489,3.9909219742,0.8281250000,0.0269743428,2.3134160042,3.2459709644,2.5247993469,3.3589987755,0.0000000000,0.0000000000
ca-fa,-0.0621485189,-0.1370071620,2.2388756275,2.8448157310,0.6600000000,0.6162000000,0.6461000000,0.6000000000,9.8165894514,16.5258120276,1.0000000000,1.0000000000,4.1736059189,-0.1587571651,0.5454389195,2.7562189102,3.9398658276,0.8771929825,0.0260950606,2.0889456272,2.8664200306,2.4667723179,3.3068804741,1.0000000000,1.0000000000
ca-fr,-0.1026648581,-0.1301131696,2.2327954769,2.8695349693,0.5800000000,0.3333000000,0.4096000000,0.5000000000,12.6028890869,23.7218193697,0.4375000000,0.0000000000,4.0515518188,-0.1241621152,0.5348842868,2.8080575466,3.9206886292,0.7894736842,0.0194780988,2.3974800110,3.3816468716,2.5214676857,3.3269927502,1.0000000000,1.0000000000
ca-it,0.1459039152,0.0607809238,1.9977347851,2.6686267853,0.4100000000,0.6162000000,0.3459000000,0.4000000000,0.5586266540,3.1070660689,0.3636000000,0.0000000000,3.5194725990,0.1915217787,0.5488543021,2.6031405926,3.3967747688,0.7000000000,0.0129690130,2.0591268539,2.7346770763,2.2881891727,2.8407015800,0.0000000000,0.0000000000
ca-kab,-0.1784847379,-0.1678760946,2.3779063225,2.8556728363,0.6500000000,0.6162000000,0.6405000000,0.7000000000,4.2446858619,20.4204062249,1.0000000000,0.0000000000,4.2557444572,-0.1946722269,0.5444749245,2.7796030045,4.0272035599,0.8596491228,0.0448367443,2.2616157532,3.1777253151,2.5225067139,3.4338927269,1.0000000000,1.0000000000
ca-rw,-0.2015504986,-0.1401617974,2.9349067211,3.2625589371,0.7700000000,0.6162000000,0.4429000000,0.6000000000,-16.4518879975,24.6890236293,1.0000000000,0.3000000000,5.0849876404,-0.1641893983,0.5640821956,3.1770482063,4.8090047836,0.7826086957,0.0222409910,2.6729798317,3.8661451340,2.9525804520,4.2138848305,-1.0000000000,1.0000000000
cy-de,-0.0776215717,-0.1018780991,2.2384104729,2.8044266701,0.6500000000,0.5456000000,0.6153000000,0.8000000000,-5.3814141448,-17.0995649341,0.8571000000,0.1000000000,4.0293736458,0.1112893149,0.5451760453,2.6995265484,3.7666535378,0.6031746032,0.0185810811,2.1481668949,2.9424800873,2.4487566948,3.2231888771,0.0000000000,-1.0000000000
cy-en,0.0422717668,0.0085410550,1.9800586700,2.5465009212,0.5700000000,0.5687000000,0.5983000000,0.8000000000,-11.1585383254,-8.8093315819,0.9000000000,0.0000000000,3.4401757717,-0.2310965955,0.5526206093,2.4030184746,3.1501183510,0.5333333333,0.0160998319,2.0717277527,2.8096683025,2.1245615482,2.6640870571,-1.0000000000,-1.0000000000
