langpair,hd_lda_euclidean,syntactic,phono,inventory,genetic,geographic,jaccard_phoible,vec_phoible
ar-fy-NL,3.029453039,0.71,0.0002000000,0.0000000000,1.0000000000,,,
ar-pt,2.622302294,0.61,0.0002000000,0.6328000000,1.0000000000,,,
ar-ru,3.095266819,0.57,0.6162000000,0.6880000000,1.0000000000,,,
ar-tr,2.709965229,0.55,0.5922000000,0.6196000000,1.0000000000,,,
cs-ar,2.762547255,0.66,0.0002000000,0.6784000000,1.0000000000,,,
cs-eo,2.769719839,0.58,0.0002000000,0.6784000000,1.0000000000,,,
cs-es,2.837726831,0.62,0.5922000000,0.5431000000,0.9231000000,,,
cs-eu,3.100365162,0.69,0.6410000000,0.4967000000,1.0000000000,,,
cs-fy-NL,3.29188633,0.53,0.0002,0.6784,0.8571000000,,,
cs-nl,2.855337858,0.51,0.0002,0.4427,0.8571000000,,,
cs-pl,2.188186646,0.5,0.6162,0.4653,0.4286,,,
cs-pt,2.504347086,0.57,0.0002,0.4431,0.9333,,,
cs-ru,2.538932085,0.54,0.6162,0.4034,0.4,,,
cs-sv-SE,2.652010441,0.57,0.0002,0.573,0.8571,,,
cs-ta,3.927021742,0.64,0.0002,0.568,1,,,
cs-tr,2.524751663,0.6,0.5922,0.4197,1,,,
cs-uk,2.462100744,0.46,0.0002,0.3804,0.5714,,,
cs-zh-CN,4.195367813,0.66,0.0002,0.6784,1,,,
eo-ar,2.97359705,0.74,0.0002,0,1,,,
eo-es,2.938391924,0.67,0.5922,0.6832,1,,,
eo-fy-NL,3.387296677,0.69,0.0002,0,1,,,
eo-pt,2.679559708,0.7,0.0002,0.6328,1,,,
eo-ru,3.183432102,0.67,0.6162,0.688,1,,,
eo-sv-SE,2.7999897,0.71,0.0002,0.6153,1,,,
eo-tr,3.081356287,0.74,0.5922,0.6196,1,,,
es-ar,2.746146441,0.56,0.5922,0.6832,1,,,
es-fy-NL,3.507082939,0.69,0.5922,0.6832,0.9231,,,
es-pt,2.647423029,0.4,0.5922,0.4797,0.2667,,,
es-ru,3.062138796,0.45,0.3613,0.5273,0.8,,,
es-sv-SE,2.671616793,0.52,0.5922,0.6215,0.9231,,,
es-tr,3.007385492,0.65,0.4097,0.5608,1,,,
eu-ar,2.87872982,0.53,0.641,0.669,1,,,
eu-eo,3.363363981,0.8,0.641,0.669,1,,,
eu-es,2.527536392,0.55,0.4278,0.5118,1,,,
eu-fy-NL,3.454161644,0.68,0.641,0.669,1,,,
eu-nl,3.638681173,0.64,0.641,0.5776,1,,,
eu-pl,3.512733936,0.61,0.2163,0.5494,1,,,
eu-pt,3.347976446,0.58,0.641,0.5462,1,,,
eu-ru,3.419205427,0.57,0.2163,0.5499,1,,,
eu-sv-SE,3.215142488,0.68,0.641,0.6212,1,,,
eu-tr,3.166807652,0.62,0.2952,0.5245,1,,,
eu-zh-CN,4.809438229,0.53,0.641,0.669,1,,,
fy-NL-pt,3.347634792,0.62,0.0002,0.6328,0.9333,,,
fy-NL-ru,3.482520342,0.63,0.6162,0.688,0.8,,,
fy-NL-sv-SE,3.118844271,0.51,0.0002,0.6153,0.5714,,,
fy-NL-tr,3.223306656,0.74,0.5922,0.6196,1,,,
nl-ar,3.095330954,0.63,0.0002,0.6068,1,,,
nl-eo,3.204866886,0.68,0.0002,0.6068,1,,,
nl-es,3.276032209,0.58,0.5922,0.557,0.9231,,,
nl-fy-NL,2.880169392,0.44,0.0002,0.6068,0.6,,,
nl-pt,2.879383564,0.49,0.0002,0.3863,0.9333,,,
nl-ru,3.050710678,0.57,0.6162,0.5297,0.8,,,
nl-sv-SE,2.722627878,0.36,0.0002,0.46,0.7,,,
nl-tr,2.979573011,0.71,0.5922,0.4527,1,,,
pl-ar,3.025392771,0.6,0.6162,0.6597,1,,,
pl-eo,3.220803022,0.64,0.6162,0.6597,1,,,
pl-es,3.213187695,0.55,0.3613,0.4801,0.9231,,,
pl-fy-NL,3.467703104,0.6,0.6162,0.6597,0.8333,,,
pl-nl,2.979982138,0.53,0.6162,0.5368,0.9,,,
pl-pt,2.799561739,0.42,0.6162,0.4584,0.9333,,,
