langpair,hd_lda_euclidean,syntactic,phono,featural,genetic,geographic,jaccard_phoible,vec_phoible
ar-cy,2.836185694,0.63,,,,,,
ar-en,2.812618494,0.57,,,,,,
ar-fa,2.652102709,0,,,,,,
ar-fy-NL,3.060020208,0.71,,,,,,
ar-it,2.596909761,0.61,,,,,,
ar-pt,2.696404696,0.61,,,,,,
ar-ru,3.163832188,0.57,,,,,,
ar-rw,3.77965045,0.74,,,,,,
ar-sv-SE,2.549756765,0.64,,,,,,
ar-tr,2.817799807,0.55,,,,,,
ca-ar,3.0904877186,0.6600000000,,,,,,
ca-cs,2.8834657669,0.5400000000,,,,,,
ca-cy,3.311844349,0.59,,,,,,
ca-de,3.3371989727,0.5400000000,,,,,,
ca-en,3.302591801,0.53,,,,,,
ca-eo,3.3232479095,0.6500000000,,,,,,
ca-es,2.6209290028,0.5400000000,,,,,,
ca-eu,2.6352279186,0.6300000000,,,,,,
ca-fa,3.105365515,0.66,,,,,,
ca-fr,3.1721200943,0.5800000000,,,,,,
ca-fy-NL,3.23079133,0.48,,,,,,
ca-it,2.770381212,0.41,,,,,,
ca-kab,3.3715670109,0.6500000000,,,,,,
ca-nl,3.2936372757,0.4700000000,,,,,,
ca-pl,3.1891486645,0.5500000000,,,,,,
ca-pt,3.133108377,0.43,,,,,,
ca-ru,3.399482965,0.58,,,,,,
ca-rw,4.597968102,0.77,,,,,,
ca-sv-SE,3.164723635,0.45,,,,,,
ca-ta,4.0915598869,0.8200000000,,,,,,
ca-tr,3.165558338,0.73,,,,,,
ca-uk,3.2966668606,0.5400000000,,,,,,
ca-zh-CN,4.7740702629,0.6600000000,,,,,,
cs-ar,2.944621563,0.66,,,,,,
cs-cy,3.208292723,0.69,,,,,,
cs-en,2.840242386,0.66,,,,,,
cs-eo,2.93139863,0.58,,,,,,
cs-es,2.942710161,0.62,,,,,,
cs-eu,3.317812443,0.69,,,,,,
cs-fa,2.901839256,0.66,,,,,,
cs-fr,2.613446712,0.64,,,,,,
cs-fy-NL,3.312039852,0.53,,,,,,
cs-it,2.520237684,0.55,,,,,,
cs-kab,3.114974976,0.78,,,,,,
cs-nl,2.979582548,0.51,,,,,,
cs-pl,2.180822134,0.5,,,,,,
cs-pt,2.58242774,0.57,,,,,,
cs-ru,2.57231307,0.54,,,,,,
cs-rw,4.484513283,0.71,,,,,,
cs-sv-SE,2.721502304,0.57,,,,,,
cs-ta,3.983462572,0.64,,,,,,
cs-tr,2.577063322,0.6,,,,,,
cs-uk,2.514249325,0.46,,,,,,
cs-zh-CN,4.266123772,0.66,,,,,,
cy-en,2.679023981,0.57,,,,,,
cy-fa,3.112999916,0.63,,,,,,
cy-fy-NL,3.238247395,0.72,,,,,,
cy-it,2.953787565,0.5,,,,,,
cy-pt,3.301272392,0.46,,,,,,
cy-ru,3.632684708,0.62,,,,,,
cy-rw,4.706586838,0.79,,,,,,
cy-sv-SE,2.724019766,0.56,,,,,,
cy-tr,3.348290205,0.81,,,,,,
de-ar,3.035874844,0.58,,,,,,
de-cs,2.703396082,0.55,,,,,,
de-cy,2.992274284,0.65,,,,,,
de-en,2.510879278,0.42,,,,,,
de-eo,2.966141224,0.69,,,,,,
de-es,3.166418076,0.5,,,,,,
de-eu,3.566523075,0.59,,,,,,
de-fa,2.827395916,0.58,,,,,,
de-fr,2.778754234,0.46,,,,,,
de-fy-NL,3.208402634,0.52,,,,,,
de-it,3.097486734,0.52,,,,,,
de-kab,3.335533142,0.78,,,,,,
de-nl,2.441720486,0.35,,,,,,
de-pl,2.987921953,0.55,,,,,,
de-pt,2.872588634,0.53,,,,,,
de-ru,3.213664532,0.42,,,,,,
de-rw,4.560395718,0.81,,,,,,
de-sv-SE,2.694989204,0.43,,,,,,
de-ta,4.273862362,0.63,,,,,,
de-tr,2.827697992,0.64,,,,,,
de-uk,3.133369923,0.47,,,,,,
de-zh-CN,4.173476696,0.58,,,,,,
en-fa,2.580902338,0.57,,,,,,
en-fy-NL,3.200060129,0.63,,,,,,
en-it,2.986557484,0.51,,,,,,
en-pt,2.598659277,0.47,,,,,,
en-ru,3.012973547,0.49,,,,,,
en-rw,4.255497932,0.77,,,,,,
en-sv-SE,2.551822662,0.42,,,,,,
en-tr,2.751631975,0.7,,,,,,
eo-ar,2.995059967,0.74,,,,,,
eo-cy,2.985810757,0.78,,,,,,
eo-en,2.660185337,0.73,,,,,,
eo-es,2.962758303,0.67,,,,,,
eo-fa,3.087310076,0.74,,,,,,
eo-fr,2.719137907,0.75,,,,,,
eo-fy-NL,3.35680151,0.69,,,,,,
eo-it,2.777261019,0.67,,,,,,
eo-pt,2.70967412,0.7,,,,,,
eo-ru,3.258871078,0.67,,,,,,
eo-rw,4.411001205,0.79,,,,,,
eo-sv-SE,2.834784985,0.71,,,,,,
eo-tr,3.187354326,0.74,,,,,,
es-ar,2.713322401,0.56,,,,,,
es-cy,3.149039745,0.55,,,,,,
es-en,3.065266848,0.4,,,,,,
es-fa,2.949349642,0.56,,,,,,
es-fr,2.826401234,0.41,,,,,,
