langpair,ld_cosine,hd_cosine,ld_euclidean,hd_euclidean,syntactic,phono,inventory,featural,ld_lfe,hd_lfe,ld_sig,hd_sig
cmn-deu,-0.1745107770,-0.1339600682,3.2043454647,3.5548353195,0.6000000000,0.3280000000,0.5902000000,0.6000000000,10.3863274217,3.8920276075,1.0000000000,0.000
cmn-eng,-0.0764279217,-0.1008988693,3.0968370438,3.5051925182,0.5500000000,0.3900000000,0.5926000000,0.6000000000,20.5343175624,15.0731128076,1.0000000000,1.000
cmn-fin,-0.1534633189,-0.1267061234,3.5057854652,3.7929947376,0.5200000000,0.2740000000,0.5823000000,0.5000000000,4.8524510531,15.3505389622,0.0000000000,0.000
cmn-fra,-0.1004545912,-0.1014042944,3.2436676025,3.6325163841,0.6500000000,0.4270000000,0.5726000000,0.6000000000,24.0157965805,5.5426432031,0.0000000000,0.000
cmn-ita,-0.1651429087,-0.1414767057,3.2301952839,3.5707139969,0.6000000000,0.5690000000,0.6245000000,0.6000000000,8.1926052878,-3.5167115611,0.0000000000,0.000
cmn-nld,-0.0495339893,-0.0907622129,3.0289852619,3.4648957253,0.6100000000,0.5690000000,0.5837000000,0.6000000000,34.4157983861,19.9293726758,1.0000000000,1.000
cmn-por,-0.1591390520,-0.1448167711,3.2877752781,3.6110646725,0.5900000000,0.5690000000,0.5869000000,0.6000000000,38.5089660466,20.7818209587,1.0000000000,1.000
cmn-rus,-0.1316839457,-0.1082520261,3.1862232685,3.4737341404,0.5100000000,0.4050000000,0.6065000000,0.5000000000,-0.9982212418,10.3007991612,0.0000000000,1.000
cmn-spa,-0.2140044421,-0.1580626965,3.3234164715,3.6081159115,0.6000000000,0.4480000000,0.5941000000,0.6000000000,26.3888879751,9.8565883267,1.0000000000,1.000
deu-eng,0.1371298283,-0.0095139658,2.4176142216,3.1482267380,0.4200000000,0.3280000000,0.4364000000,0.4000000000,2.0878401789,-1.3036215847,0.0000000000,0.000
deu-fin,-0.1190079674,-0.1011070535,3.0806999207,3.5443563461,0.5400000000,0.1860000000,0.4201000000,0.4000000000,-0.4194208752,7.0005140972,0.0000000000,0.000
deu-fra,-0.1341930479,-0.1082509309,2.8995528221,3.4320578575,0.4600000000,0.2620000000,0.3886000000,0.4000000000,2.4695737749,-3.3489315704,0.0000000000,0.000
deu-ita,-0.1901929080,-0.1507281959,2.8517413139,3.3632380962,0.5200000000,0.5460000000,0.4819000000,0.5000000000,-5.5571378997,3.1368650557,0.0000000000,0.000
deu-nld,0.0505100824,-0.0028498142,2.5038039684,3.1133160591,0.3500000000,0.5460000000,0.3086000000,0.4000000000,-3.6823474423,-1.1076879615,0.0000000000,0.000
deu-por,-0.1942811608,-0.1674906909,2.9299991131,3.4248650074,0.5300000000,0.5460000000,0.4343000000,0.5000000000,3.9827665324,8.5799550759,0.0000000000,1.000
deu-rus,-0.1523876786,-0.1220949292,2.8080952168,3.2734706402,0.4200000000,0.3330000000,0.5184000000,0.5000000000,2.8705650490,20.0750361670,0.0000000000,1.000
deu-spa,-0.0612391755,-0.1059274673,2.7210960388,3.3091094494,0.5000000000,0.4790000000,0.6393000000,0.6000000000,-2.3313067698,2.4623805530,0.0000000000,0.000
eng-fin,-0.0907014385,-0.1107018292,3.0685122013,3.5618369579,0.5300000000,0.2740000000,0.4694000000,0.5000000000,6.1840803054,30.0683252149,0.0000000000,1.000
eng-fra,-0.1684212685,-0.1509647369,2.9715678692,3.4997162819,0.4600000000,0.4270000000,0.4753000000,0.5000000000,2.8201358777,-5.3894635107,0.0000000000,0.000
eng-ita,-0.2697318792,-0.1811875105,2.9763951302,3.4098808765,0.5100000000,0.5690000000,0.5064000000,0.5000000000,0.9788098548,6.3035881368,0.0000000000,1.000
eng-nld,-0.0269639306,-0.0479089655,2.6321253777,3.1847813129,0.4900000000,0.5690000000,0.4861000000,0.5000000000,17.0777218524,6.7793445086,1.0000000000,1.000
eng-por,-0.1723336279,-0.1383211464,2.9321908951,3.3841781616,0.4700000000,0.5690000000,0.4235000000,0.5000000000,24.5023868011,22.8231686198,1.0000000000,1.000
eng-rus,-0.0941324234,-0.1098720506,2.7648625374,3.2579734325,0.4900000000,0.2800000000,0.5594000000,0.5000000000,9.4053075748,22.2163555108,0.0000000000,1.000
eng-spa,-0.2043625712,-0.1542169303,2.9284868240,3.3829669952,0.4000000000,0.3430000000,0.5481000000,0.5000000000,2.8818208373,17.0530112562,0.0000000000,1.000
fin-fra,-0.2317780852,-0.1590694487,3.3808636665,3.7671313286,0.5400000000,0.3280000000,0.3996000000,0.5000000000,0.8049755509,8.7143102458,0.0000000000,0.000
fin-ita,-0.0469118766,-0.0753868967,3.0179524422,3.5070998669,0.5700000000,0.5690000000,0.4906000000,0.6000000000,-1.4616194951,5.8911577051,0.0000000000,0.000
fin-nld,-0.1186489835,-0.1069449708,3.0751287937,3.5316383839,0.6100000000,0.5690000000,0.4561000000,0.6000000000,12.6208753031,32.1795261361,0.0000000000,0.000
fin-por,-0.1776534468,-0.1441260427,3.2648627758,3.6513204575,0.5200000000,0.5690000000,0.4540000000,0.5000000000,-2.5130443902,-0.8203726506,0.0000000000,0.000
fin-rus,-0.1400054991,-0.1295352578,3.1488049030,3.5484449863,0.3800000000,0.2800000000,0.5099000000,0.4000000000,-29.3643149794,0.8524030508,-1.0000000000,0.000
fin-spa,-0.0088343415,-0.0728683025,2.9880466461,3.5140938759,0.4700000000,0.4480000000,0.5617000000,0.5000000000,-0.1854570584,15.3317902596,0.0000000000,0.000
fra-ita,-0.0152004538,-0.0761126131,2.7814941406,3.3861927986,0.5500000000,0.5460000000,0.4379000000,0.5000000000,-6.6358140507,-6.1862092972,0.0000000000,0.000
fra-nld,-0.0466728508,-0.0635035187,2.7808640003,3.3401167393,0.5100000000,0.5460000000,0.3411000000,0.5000000000,19.4114538962,8.8419768884,1.0000000000,0.000
fra-por,-0.0562338307,-0.0890119895,2.9031574726,3.4411695004,0.4600000000,0.5460000000,0.3947000000,0.5000000000,13.1778286526,-0.9501607590,1.0000000000,0.000
fra-rus,-0.1360946298,-0.1119705215,2.9438986778,3.3960802555,0.5100000000,0.3330000000,0.5152000000,0.5000000000,-13.5697171392,-6.9495329944,-1.0000000000,0.000
fra-spa,-0.0633887351,-0.0950791985,2.8734817505,3.4273684025,0.4100000000,0.4790000000,0.5804000000,0.5000000000,-4.9868106504,-15.4854071508,0.0000000000,-1.000
ita-nld,-0.2432216406,-0.2035149336,2.9086980820,3.4151103497,0.4300000000,0.0000000000,0.4305000000,0.4000000000,14.9912362850,15.9933375179,1.0000000000,1.000
ita-por,-0.0476840027,-0.0647801086,2.7834708691,3.2749881744,0.3000000000,0.0000000000,0.3510000000,0.3000000000,0.3175904517,3.4637310160,0.0000000000,0.000
ita-rus,-0.0880212039,-0.1145406216,2.7689201832,3.2668287754,0.5600000000,0.6160000000,0.4693000000,0.5000000000,-4.8229215898,-6.6815290777,0.0000000000,0.000
ita-spa,0.0479898453,-0.0000723280,2.6146898270,3.1508643627,0.4700000000,0.5920000000,0.5037000000,0.5000000000,-1.7963303936,-2.4729740218,0.0000000000,0.000
nld-por,-0.0647139028,-0.0822595060,2.7616543770,3.2746102810,0.4900000000,0.0000000000,0.3863000000,0.4000000000,25.1879716204,18.9670008040,1.0000000000,1.000
nld-rus,-0.1794459373,-0.1387047321,2.8351633549,3.2736139297,0.5700000000,0.6160000000,0.5297000000,0.6000000000,-9.7883095070,32.0943526204,0.0000000000,1.000
nld-spa,-0.1782477349,-0.1400018334,2.8613646030,3.3360249996,0.5800000000,0.5920000000,0.5570000000,0.6000000000,10.4366904047,5.5952334681,0.0000000000,0.000
por-rus,0.0537543483,-0.0138454093,2.6471886635,3.1510059834,0.5000000000,0.6160000000,0.4700000000,0.5000000000,-9.1138825946,-1.0660181401,0.0000000000,0.000
por-spa,-0.1406971812,-0.1249930859,2.9325945377,3.3782734871,0.4000000000,0.5920000000,0.4797000000,0.5000000000,11.8330734050,7.1930702319,1.0000000000,0.000
rus-spa,-0.1538798213,-0.1244479269,2.8804945946,3.2935240269,0.4500000000,0.3610000000,0.5273000000,0.5000000000,-8.9816086807,23.5717397075,-1.0000000000,1.000
