langpair,train,test,same,different,genus,family
ca-cy,cy,ca,4.86,2.86,different,same
ca-de,de,ca,2.06,2.58,different,same
ca-en,en,ca,1.96,2.98,different,same
ca-fa,fa,ca,3.32,3.48,different,same
ca-fr,fr,ca,2.36,2.82,same,same
ca-it,it,ca,6.24,2.91,same,same
ca-kab,kab,ca,4.41,3.37,different,different
ca-rw,rw,ca,7.11,3.45,different,different
ca-cy,ca,cy,2.549,5.167,different,same
cy-de,de,cy,2.06,3.73,different,same
cy-en,en,cy,1.96,4.43,different,same
cy-fa,fa,cy,3.32,5.12,different,same
cy-fr,fr,cy,2.36,5.13,different,same
cy-it,it,cy,6.24,4.93,different,same
cy-kab,kab,cy,4.41,5.08,different,different
cy-rw,rw,cy,7.11,5.59,different,different
ca-de,ca,de,2.549,2.608,different,same
cy-de,cy,de,4.86,2.00,different,same
de-en,en,de,1.96,1.83,same,same
de-fa,fa,de,3.32,2.27,different,same
de-fr,fr,de,2.36,2.51,different,same
de-it,it,de,6.24,1.97,different,same
de-kab,kab,de,4.41,1.57,different,different
de-rw,rw,de,7.11,2.74,different,different
ca-en,ca,en,2.549,1.792,different,same
cy-en,cy,en,4.86,1.79,different,same
de-en,de,en,2.06,2.21,same,same
en-fa,fa,en,3.32,2.15,different,same
en-fr,fr,en,2.36,2.11,different,same
en-it,it,en,6.24,3.37,different,same
en-kab,kab,en,4.41,1.85,different,different
en-rw,rw,en,7.11,2.05,different,different
ca-fa,ca,fa,2.549,3.359,different,same
cy-fa,cy,fa,4.86,3.19,different,same
de-fa,de,fa,2.06,3.34,different,same
en-fa,en,fa,1.96,3.00,different,same
fa-fr,fr,fa,2.36,3.23,different,same
fa-it,it,fa,6.24,3.57,different,same
fa-kab,kab,fa,4.41,2.94,different,different
fa-rw,rw,fa,7.11,2.93,different,different
ca-fr,ca,fr,2.549,3.249,same,same
cy-fr,cy,fr,4.86,3.02,different,same
de-fr,de,fr,2.06,2.49,different,same
en-fr,en,fr,1.96,2.94,different,same
fa-fr,fa,fr,3.32,3.16,different,same
fr-it,it,fr,6.24,2.95,same,same
fr-kab,kab,fr,4.41,2.98,different,different
fr-rw,rw,fr,7.11,3.13,different,different
ca-it,ca,it,2.549,6.151,same,same
cy-it,cy,it,4.86,6.53,different,same
de-it,de,it,2.06,6.17,different,same
en-it,en,it,1.96,6.07,different,same
fa-it,fa,it,3.32,6.53,different,same
fr-it,fr,it,2.36,5.87,same,same
it-kab,kab,it,4.41,6.44,different,different
it-rw,rw,it,7.11,6.25,different,different
ca-kab,ca,kab,2.549,5.008,different,different
cy-kab,cy,kab,4.86,5.34,different,different
de-kab,de,kab,2.06,5.99,different,different
en-kab,en,kab,1.96,5.00,different,different
fa-kab,fa,kab,3.32,5.71,different,different
fr-kab,fr,kab,2.36,4.88,different,different
it-kab,it,kab,6.24,5.54,different,different
kab-rw,rw,kab,7.11,5.88,different,different
ca-rw,ca,rw,2.549,8.599,different,different
cy-rw,cy,rw,4.86,9.05,different,different
de-rw,de,rw,2.06,10.41,different,different
en-rw,en,rw,1.96,9.80,different,different
fa-rw,fa,rw,3.32,9.10,different,different
fr-rw,fr,rw,2.36,9.05,different,different
it-rw,it,rw,6.24,10.83,different,different
kab-rw,kab,rw,4.41,9.22,different,different
